Franchise,No_of_Movies,Domestic_Box_Office,Infl_Adj_Dom_Box_Office,Worldwide_Box_Office,First_Year,Last_Year,No_of_Years
Best Exotic Marigold Hotel,2,79461905,88831291,225024086,2012,2015,3.0
A Dog’s Purpose,2,87104261,88108168,281770781,2017,2019,2.0
Kick-Ass,2,76867288,87771462,160661043,2010,2013,3.0
Iron Eagle,3,36677472,87017208,36677472,1986,1992,6.0
Soul Food,1,43492389,86309160,43492389,1997,1997,
Hills Have Eyes,2,62583029,85655072,107822351,2006,2007,1.0
Silent Hill,2,64512851,85408145,150679899,2006,2012,6.0
Without a Paddle,2,58156435,85312599,65121280,2004,2009,5.0
Candyman,3,39471013,85241423,39471013,1992,2020,28.0
Sinister,2,75827858,85012780,141832032,2012,2015,3.0
Butterfly Effect,3,57924679,84974846,95638592,2004,2009,5.0
Happy Death Day,2,83831975,84701063,189696775,2017,2019,2.0
Care Bears,4,33474346,84484036,33474346,1985,2007,22.0
Street Fighter,2,42165261,83595200,112083287,1994,2009,15.0
Benchwarmers,2,59843754,83233060,65063726,2006,2019,13.0
Hoodwinked,2,61530390,83123730,133196501,2006,2011,5.0
Wallace and Gromit,4,57070549,81746035,198595154,1995,2009,14.0
Curious George,4,58640119,81558997,73992733,2006,2015,9.0
Dark Universe,2,80101125,81351307,409953905,2017,2020,3.0
Stomp the Yard,2,61356221,81243481,75525718,2007,2010,3.0
Carlito's Way,2,36516012,80452095,36516012,1993,2005,12.0
Willard,2,14545941,80311218,14545941,1971,1972,1.0
Three Flavours Cornetto Trilogy,3,63166511,80281037,159583508,2004,2013,9.0
White Noise,2,56094360,79722248,100337927,2005,2008,3.0
Monty Python,4,38867565,79542817,40794490,1975,1983,8.0
Elizabeth,2,46367939,77983731,157021508,1998,2007,9.0
All Dogs Go To Heaven,2,34777449,77503543,34777449,1989,1996,7.0
Hitman: Agent 47,2,62155144,76807075,181318374,2007,2015,8.0
George A. Romero's Dead Series,6,44745768,76426377,172338528,1968,2010,42.0
A Cinderella Story,4,51438175,75459214,70164105,2004,2016,12.0
Lawnmower Man,2,34497118,75406066,34497118,1992,1996,4.0
Lost Boys,3,32222567,75076102,32302907,1987,2010,23.0
Big Fat Liar,2,47811275,74967420,52461017,2002,2017,15.0
Happy Feet,1,64006466,73517582,157956466,2011,2011,
House on Haunted Hill,2,40846082,73212816,65090541,1999,2007,8.0
Hot Tub Time Machine,2,62584510,71350886,78794394,2010,2015,5.0
The Sandlot,3,32416586,71332147,32416586,1993,2007,14.0
Darkman,3,32942739,71115721,32942739,1990,2010,20.0
House,3,28983528,69890434,31683528,1986,1989,3.0
Fright Night,2,27272526,69321561,27272526,1985,1989,4.0
Cop and a Half,2,31226971,68714416,31226971,1993,2017,24.0
Air Bud,13,34740459,68523953,39423158,1997,2018,21.0
Haunting in Connecticut,2,55389516,67279801,78758522,2009,2013,4.0
47 Meters Down,2,66568093,67259617,100198938,2017,2019,2.0
Boogeyman,3,46752382,66445270,67192859,2005,2009,4.0
The Last Exorcism,2,56213653,64388350,95614607,2010,2013,3.0
A Haunted House,2,57371170,64191683,81129419,2013,2014,1.0
Project X,1,54731865,62639103,103028188,2012,2012,
The Thing,2,30782772,62237607,41355916,1982,2011,29.0
Baby Geniuses,2,36260812,62054223,36506859,1999,2004,5.0
Angel,2,23111351,61846077,23111351,1984,1985,1.0
Super Troopers,2,49109758,59613162,54621777,2002,2018,16.0
Punisher,2,41715347,59600344,64691308,2004,2008,4.0
The Howling,2,17985000,58936453,18095008,1981,2012,31.0
You Got Served,2,40066497,58777091,52042400,2004,2011,7.0
Wild Things,2,29795299,57875302,55576699,1998,2010,12.0
Return of the Living Dead,3,23464804,56988753,23464804,1985,1993,8.0
Lake Placid,5,31770413,56974104,31770413,1999,2015,16.0
Viva Pedro Box,8,32335870,56762752,168519885,1986,2004,18.0
VeggieTales,2,38552620,56556838,38857223,2002,2008,6.0
Johnny English,3,40832390,56392048,487186743,2003,2018,15.0
The Mechanic,2,50339901,55801610,202077028,2011,2016,5.0
Tales from the Crypt,3,26690431,55710729,26690431,1995,2001,6.0
Crank,2,41522657,55340562,79397662,2006,2009,3.0
Delta Force,2,23160543,55044770,23160543,1986,1990,4.0
Children of the Corn,3,21553340,54885818,21553340,1984,2018,34.0
Dracula 2000,1,33000377,54854508,33000377,2000,2000,
Prom Night,2,15707587,52232558,15707587,1980,1987,7.0
The Art of War,3,30199105,51041526,30199105,2000,2009,9.0
Mimic,2,25514166,50639220,25514166,1997,2001,4.0
Ninja,4,17936413,50497559,17936413,1983,2013,30.0
The Boy,2,48431092,50335946,87197915,2016,2020,4.0
Allan Quatermain,2,18809164,47355219,18809164,1985,1987,2.0
Max,2,42656255,46097083,43730696,2015,2017,2.0
Death Race,3,36316032,46077861,72516819,2008,2013,5.0
Johnson Family,2,31203964,45775855,31286759,2004,2008,4.0
Honey,2,30272254,45670926,71536388,2003,2010,7.0
Open Water,2,30500882,44744448,57005415,2004,2017,13.0
Unfriended,2,41656390,44301347,80798786,2015,2018,3.0
Joe Dirt,2,27087695,43598738,30987695,2001,2015,14.0
"House of 1,000 Corpses",2,29679943,43313250,37945894,2003,2005,2.0
Gettysburg,2,23614931,43078840,23655933,1993,2003,10.0
Sniper,3,18994653,41797409,18994653,1993,2014,21.0
Clerks,2,27221496,40381842,31236486,1994,2006,12.0
Quarantine,1,31691811,40210638,41924774,2008,2008,
Cirque du Soleil,3,28138938,39940454,55773929,2000,2019,19.0
Machete,2,34601807,39679188,64643979,2010,2013,3.0
Van Wilder,3,25566609,39332553,43523216,2002,2009,7.0
American Ninja,4,15759000,39096303,15759000,1985,1990,5.0
Dragon Ball Z,3,38385118,39031100,220004898,2013,2018,5.0
Critters,4,16167232,38982109,16167232,1986,2019,33.0
Space Chimps,2,30105968,38198522,72590156,2008,2010,2.0
An Inconvenient Truth,2,27642956,37134802,59205247,2006,2017,11.0
Trainspotting,2,18903789,36451087,113650233,1996,2017,21.0
Tremors,3,16667084,35980355,16667084,1990,2018,28.0
Kickboxer,4,15745035,35799367,15920982,1989,2018,29.0
Joy Ride,3,21973182,35366724,22204890,2001,2014,13.0
Beastmaster,2,11524616,34987602,11524616,1982,1991,9.0
Gate,2,15032973,34751744,15032973,1987,1992,5.0
Big Lebowski,2,17516973,34008381,46254137,1998,2019,21.0
Omega Code,2,18658243,32314091,18726003,1999,2001,2.0
Cabin Fever,3,21158188,31965350,30351664,2003,2014,11.0
Millenium,3,27259458,31640752,221298683,2009,2010,1.0
Never Back Down,3,24850922,31530903,39319801,2008,2016,8.0
Academy Award Short Film Nominations,15,28628085,30596048,28632823,2006,2020,14.0
Flicka,2,21000147,29200392,21896367,2006,2011,5.0
Center Stage,2,17200925,29072433,21395182,2000,2009,9.0
Alpha and Omega,4,25107267,28989505,48958353,2010,2015,5.0
Before Sunrise,3,19177448,28631373,40159496,1995,2013,18.0
Pulse,3,20264436,28184582,30241435,2006,2008,2.0
Escape Plan,3,25135965,28165478,121121471,2013,2019,6.0
Warlock,2,12727232,27683185,12727232,1991,1993,2.0
Bloodsport,2,12490470,27579295,12490470,1988,1996,8.0
Exterminator,2,8739406,27071768,8739406,1980,1984,4.0
Baahubali,2,25723794,26563622,290239579,2015,2017,2.0
